TREE_1	BL21 Big	S1
TREE_1	BL21 Small	S2
TREE_1	BL21 10	S3
TREE_1	LE Big	S4
TREE_1	LE Small	S5
TREE_1	LE 10	S6
TREE_1	P1	S7
TREE_1	P2	S8
TREE_1	P3	S9
TREE_1	P4	S10
TREE_1	P5	S11
TREE_1	P6	S12
TREE_1	P7	S13
TREE_1	P8	S14
TREE_1	P9	S15
TREE_1	P10	S16
TREE_2	P1	S17
TREE_2	P3	S19
TREE_3	P1	S20
TREE_3	P2	S21
TREE_3	P4	S22
TREE_3	P5	S23
TREE_3	P6	S24
TREE_3	P7	S25
TREE_3	P8	S26
TREE_3	P9	S27
TREE_3	P10	S28
TREE_4	P5	S29
TREE_4	P6	S30
TREE_4	P10	S31
TREE_5	P1	S32
TREE_5	P2	S33
TREE_6	P1	S34
TREE_6	P4	S35
TREE_6	P6	S36
TREE_6	P7	S37
